"ID","name","fa_loans_debt_avg_d"
"430","Boise State University",27024
"431","Idaho State University",26445
"432","University of Idaho",25753
"433","Lewis-Clark State College",18065
"435","The College of Idaho",29998
"436","Northwest Nazarene University",27657
"441","Eastern Illinois University",31219
"443","University of Illinois at Chicago",23158
"445","Illinois State University",30373
"446","Northern Illinois University",33234
"447","Northeastern Illinois University",13366
"448","University of Illinois at Springfield",23507
"449","Southern Illinois University-Carbondale",30138
"450","Southern Illinois University-Edwardsville",27681
"451","Western Illinois University",28785
"452","School of the Art Institute of Chicago",42097
"453","Augustana College",31612
"456","Blessing Rieman College of Nursing",8475
"457","Bradley University",27277
"458","University of Chicago",23223
"460","Concordia University-Chicago",32408
"461","DePaul University",27498
"463","Elmhurst College",28068
"464","Eureka College",30194
"465","Greenville College",28452
"468","Benedictine University",26750
"469","Illinois Wesleyan University",32101
"470","Illinois College",22958
"471","Illinois Institute of Technology",31877
"473","Knox College",29085
"475","Lakeview College of Nursing",25000
"476","Lewis University",33748
"477","Lincoln Christian University",25578
"479","Loyola University Chicago",31089
"481","MacMurray College",50039
"482","McKendree University",21731
"484","Millikin University",31989
"485","Monmouth College",31154
"489","North Central College",32086
"491","Northwestern University",19864
"492","Olivet Nazarene University",32906
"493","Principia College",23732
"494","Quincy University",27857
"495","Robert Morris University Illinois",31562
"496","Rockford University",39619
"498","Dominican University",29235
"501","University of St Francis",29418
"504","Shimer College",25125
"508","Trinity Christian College",30996
"510","VanderCook College of Music",38861
"512","Wheaton College",25939
"514","Ball State University",27627
"515","Indiana University-Purdue University-Fort Wayne",29452
"516","Indiana University-Purdue University-Indianapolis",31010
"517","University of Southern Indiana",25732
"518","Indiana State University",26256
"519","Indiana University-Kokomo",26651
"520","Indiana University-South Bend",29919
"521","Indiana University-Bloomington",27300
"522","Indiana University-Northwest",33790
"523","Indiana University-Southeast",26594
"524","Indiana University-East",29952
"525","Purdue University-Calumet Campus",28600
"528","Purdue University-Main Campus",28343
"531","Butler University",35797
"532","Calumet College of Saint Joseph",30847
"533","DePauw University",27005
"534","Earlham College",27421
"535","University of Evansville",29441
"536","Franklin College",32451
"537","Goshen College",26586
"539","Hanover College",31004
"541","Huntington University",35840
"542","University of Indianapolis",35689
"543","Indiana Institute of Technology",41844
"544","Manchester University",30141
"549","University of Notre Dame",26674
"551","Rose-Hulman Institute of Technology",35420
"553","Saint Josephs College",30899
"555","Saint Mary's College",30910
"556","Taylor University",25125
"557","Trine University",32641
"558","Valparaiso University",35449
"559","Wabash College",30734
"563","Iowa State University",28880
"564","University of Iowa",28716
"565","University of Northern Iowa",23163
"569","Buena Vista University",34173
"570","Central College",29440
"571","Clarke University",37200
"572","Coe College",31992
"573","Cornell College",25004
"575","Dordt College",27867
"576","Drake University",31546
"577","University of Dubuque",22894
"580","Graceland University-Lamoni",35077
"581","Grand View University",38160
"582","Grinnell College",16315
"583","Iowa Wesleyan College",36797
"584","Loras College",34514
"585","Luther College",36918
"588","Morningside College",34667
"589","Mount Mercy University",27442
"592","Saint Ambrose University",34937
"593","Simpson College",35205
"594","Upper Iowa University",30401
"595","Wartburg College",39414
"597","Emporia State University",30488
"598","Fort Hays State University",25172
"600","University of Kansas",25268
"601","Kansas State University",26779
"602","Pittsburg State University",23307
"603","Washburn University",27383
"604","Wichita State University",23534
"608","Bethel College-North Newton",24132
"611","Barclay College",7220
"612","Friends University",15289
"613","Newman University",23843
"614","Kansas Wesleyan University",31230
"621","Southwestern College",33478
"622","Sterling College",28221
"623","Tabor College",26588
"627","Eastern Kentucky University",27438
"628","Kentucky State University",34110
"630","University of Louisville",23375
"631","Morehead State University",28147
"632","Murray State University",24554
"633","Northern Kentucky University",27594
"634","Western Kentucky University",26768
"635","Alice Lloyd College",9949
"637","Bellarmine University",31381
"638","Berea College",6186
"640","Campbellsville University",22261
"641","Centre College",25994
"643","University of the Cumberlands",18777
"644","Georgetown College",19076
"646","Kentucky Wesleyan College",24150
"647","Kentucky Christian University",30578
"648","Lindsey Wilson College",26249
"650","University of Pikeville",20087
"654","Thomas More College",31014
"655","Transylvania University",28079
"656","Union College",32691
"661","Louisiana State University and Agricultural & Mechanical College",22294
"663","Louisiana Tech University",16855
"665","University of New Orleans",18850
"666","Nicholls State University",24250
"674","Centenary College of Louisiana",27692
"677","Loyola University New Orleans",25133
"682","Tulane University of Louisiana",31653
"683","Xavier University of Louisiana",24570
"684","University of Maine at Augusta",30827
"685","University of Maine at Farmington",31792
"686","University of Maine at Fort Kent",24028
"687","University of Maine at Machias",29146
"688","University of Maine",33875
"689","Maine Maritime Academy",40909
